Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD137010,10000.00,1328.00,19.504695,53.294537,-214340.609004,6.623596,29.284207,1.167,45.1011,1.76479,12.6182,1.99201,0,15.3896,10.763,11.0407,1.33056
HD10895,10000.00,1328.00,17.245853,47.156662,-185982.114106,5.819239,25.728190,1.102,45.0625,1.92497,11.0662,2.1759,0,16.8233,10.6633,10.6757,1.60816
HD30177,10000.00,1328.00,21.942874,60.406332,-245119.019237,7.535051,33.215788,1.247,46.1058,1.40595,13.7522,1.78417,0,14.2632,11.762,9.09987,1.82678
HD154195A,10000.00,1328.00,20.411587,55.964987,-227012.958313,7.003796,30.688251,1.300,46.4399,1.61986,12.8521,1.88446,0,14.2584,10.618,10.7229,1.60444
BD-130321,10000.00,1328.00,28.158668,77.595540,-324957.596469,9.866543,42.796877,1.534,48.246,1.4292,14.7323,1.49786,0,10.9874,10.8905,10.4547,1.76194
HD88742,10000.00,1328.00,20.492454,56.174211,-228406.278185,7.044342,30.790672,1.340,46.7608,1.59083,12.9139,1.86436,0,14.0732,10.4443,10.7881,1.56449
HD76151,10000.00,1328.00,20.831672,57.178625,-231866.079419,7.157225,31.337002,1.305,46.5729,1.51444,12.8434,1.8814,0,14.1804,10.6907,10.5873,1.72942
HIP21539,10000.00,1328.00,22.321502,61.144821,-249436.376049,7.654461,33.657368,1.274,45.9489,1.85107,13.3235,1.8296,0,13.836,10.7866,10.9901,1.43416
HD187760,10000.00,1328.00,24.064010,65.192311,-260624.169409,7.944686,36.670333,0.504,37.7533,1.51374,13.8019,2.34408,0,16.0357,11.842,15.3625,1.34686
HD132411,10000.00,1328.00,21.010330,57.619735,-231150.972798,7.150621,31.623041,1.142,45.1614,1.79843,12.3818,1.99143,0,15.126,11.1588,10.6452,1.73697
HIP20444,10000.00,1328.00,22.096752,60.743388,-248992.704748,7.647128,33.326151,1.408,47.4154,1.59408,13.4124,1.74003,0,13.1362,10.7209,10.2732,1.70781
BD-064756,10000.00,1328.00,20.177232,55.266412,-222556.607880,6.885713,30.275356,1.229,45.8452,2.00621,12.2978,1.96265,0,14.843,10.6077,10.8608,1.57672
HD91345,10000.00,1328.00,16.352862,44.357684,-169908.116986,5.404535,24.095500,0.951,43.9069,1.75304,9.48723,2.45496,0,20.3194,10.2982,10.7422,1.0381
