HD6718,3.17919,3.19266,3.21234,3.24065,3.27978,3.28937,3.3108,3.32065,3.32962,3.33799,3.34596,3.35362,3.36105,3.3683,3.3754,3.38237,3.38924,3.39601,3.40271,3.4093199999999997,3.4158800000000005,3.42237,3.42881,3.43519,3.44153,3.4478199999999997,3.4540699999999998,3.4602699999999995,3.46645,3.4725900000000003,3.4786900000000003,3.49514,3.5012,3.5072300000000003,3.5132199999999996,3.5191800000000004,3.5251099999999997,3.53102,3.5369,3.5427699999999995,3.5486199999999997,3.5544599999999997,3.56029,3.5661199999999997,3.57196,3.57781,3.58368,3.58958,3.59554,3.61215,3.6793099999999996,3.7159199999999997,3.72169,3.72761,3.73375,3.74019,3.74705,3.75452,3.76284,3.7723699999999996,3.7835699999999997,3.8195,3.8299300000000005,3.84649,3.8651199999999997,3.88657,3.9051400000000003,3.9140800000000002,3.92326,3.9327900000000002,3.94285,3.9494,3.95611,3.9667,3.97592,3.9841,3.99149,3.9982699999999998,4.004580000000001,4.01052,4.01616
HD15906,3.1777599999999997,3.1911400000000003,3.21068,3.2427900000000003,3.27684,3.2845699999999995,3.30571,3.31587,3.3250699999999997,3.33364,3.34177,3.3495699999999995,3.3571199999999997,3.36446,3.37165,3.37869,3.3856300000000004,3.39246,3.3992,3.4058699999999997,3.41246,3.41899,3.42547,3.4318800000000005,3.43824,3.44456,3.4508300000000003,3.45706,3.46325,3.46941,3.4755300000000005,3.4943699999999995,3.50045,3.5064800000000003,3.5124800000000005,3.51844,3.52437,3.5302800000000003,3.5361599999999997,3.5420199999999995,3.54786,3.55369,3.55951,3.5653300000000003,3.57115,3.5769800000000003,3.5828300000000004,3.58871,3.59464,3.60969,3.6760599999999997,3.71081,3.71656,3.72246,3.7285699999999995,3.7349699999999997,3.7418,3.7492099999999997,3.75749,3.7669699999999997,3.77815,3.8279099999999997,3.83645,3.85278,3.87109,3.89214,3.9138699999999997,3.9226199999999998,3.9315599999999997,3.9408199999999995,3.9485699999999997,3.9544699999999997,3.9601900000000003,3.96673,3.9759300000000004,3.9841,3.9914699999999996,3.9982300000000004,4.004519999999999,4.01044,4.01605
HD111031,3.1655599999999997,3.1789400000000003,3.19817,3.2366099999999998,3.27548,3.28325,3.3063599999999997,3.3166599999999997,3.32595,3.3345800000000003,3.34274,3.3505599999999998,3.3581199999999995,3.3654800000000002,3.3726800000000003,3.3797300000000003,3.3866699999999996,3.39351,3.40026,3.40694,3.4135400000000002,3.4200699999999995,3.42655,3.4329699999999996,3.43934,3.4456599999999997,3.45194,3.4581699999999995,3.4643699999999997,3.47053,3.47665,3.49615,3.5023,3.5083900000000003,3.51444,3.52045,3.52642,3.53237,3.5382800000000003,3.5441800000000003,3.55005,3.5559199999999995,3.5617699999999997,3.56762,3.57347,3.57934,3.5852199999999996,3.59115,3.59712,3.6087300000000004,3.67366,3.70615,3.712,3.7180199999999997,3.7242699999999997,3.73084,3.73786,3.7455199999999995,3.7541,3.76398,3.77565,3.82957,3.83735,3.8534800000000002,3.87181,3.8928599999999998,3.9148300000000003,3.9238699999999995,3.9331,3.94262,3.9492599999999998,3.95525,3.96105,3.9666699999999997,3.97264,3.9813400000000003,3.98916,3.99631,4.00292,4.009119999999999,4.01497
HD154363,3.63065,3.6665699999999997
HD221287,3.16863,3.1844799999999998,3.20739,3.23842,3.2738099999999997,3.29147,3.3046900000000003,3.31601,3.3261300000000005,3.33544,3.34418,3.3524800000000003,3.36044,3.36815,3.37564,3.3829599999999997,3.39013,3.3971699999999996,3.4041,3.4109300000000005,3.4176699999999998,3.42434,3.4309300000000005,3.4374599999999997,3.4439300000000004,3.45035,3.4567099999999997,3.4630300000000003,3.4693,3.4755300000000005,3.48173,3.50645,3.51252,3.5185400000000002,3.52454,3.5305,3.5364400000000002,3.54236,3.54826,3.5541300000000002,3.56,3.56586,3.5717199999999996,3.57758,3.58345,3.58934,3.5952599999999997,3.60123,3.6072599999999997,3.61971,3.68223,3.6931,3.69916,3.7054099999999996,3.7119400000000002,3.71885,3.7262699999999995,3.7344,3.7435300000000002,3.75397,3.76612,3.8382,3.84655,3.8629,3.8811199999999997,3.90193,3.9199,3.92975,3.93992,3.95057,3.96012,3.96639,3.97537,3.9868300000000003,3.99672,4.0054300000000005,4.01325,4.02039,4.0269900000000005,4.033180000000001,4.03903
HD211583,3.1652099999999996,3.17836,3.19794,3.2286200000000003,3.28718,3.30156,3.3263599999999998,3.33554,3.34392,3.35181,3.35935,3.36666,3.3737800000000004,3.38076,3.38763,3.3944,3.4010800000000003,3.40769,3.41424,3.4207300000000003,3.42717,3.43355,3.4399,3.44619,3.45245,3.45868,3.46486,3.4710199999999998,3.47715,3.48325,3.4893199999999998,3.5000400000000003,3.5061699999999996,3.51226,3.5183199999999997,3.52434,3.53033,3.5363,3.54225,3.5481800000000003,3.55409,3.56,3.5659099999999997,3.5718199999999998,3.5777400000000004,3.58368,3.58966,3.59568,3.6017699999999997,3.61982,3.68831,3.7265800000000002,3.7325199999999996,3.73865,3.7450300000000003,3.7517699999999996,3.7589900000000003,3.76689,3.77576,3.78597,3.7966599999999997,3.8035300000000003,3.81742,3.83481,3.8544400000000003,3.87715,3.8876199999999996,3.8973400000000002,3.9073599999999997,3.91781,3.92886,3.9388300000000003,3.9466699999999997,3.9583199999999996,3.96845,3.9774199999999995,3.9855,3.9928800000000004,3.99971,4.0061,4.0121400000000005
HD40105,3.1806,3.19253,3.2094099999999997,3.23857,3.2795699999999997,3.28704,3.3103300000000004,3.3193699999999997,3.32769,3.3355599999999996,3.34311,3.3504300000000002,3.3575699999999995,3.3645699999999996,3.37146,3.37825,3.38495,3.3915800000000003,3.39815,3.40465,3.4111,3.4175,3.42385,3.43015,3.43641,3.4426400000000004,3.4488199999999996,3.45497,3.46109,3.46717,3.4732300000000005,3.4856599999999998,3.49175,3.4978,3.5038,3.5097699999999996,3.5157,3.52161,3.5274900000000002,3.53335,3.53919,3.5450199999999996,3.5508300000000004,3.5566400000000002,3.56245,3.5682699999999996,3.5741,3.57996,3.58585,3.6000699999999997,3.6681800000000004,3.72404,3.7296400000000003,3.7353699999999996,3.74128,3.74745,3.75397,3.76102,3.76882,3.77771,3.78818,3.80884,3.8179,3.8343300000000005,3.85287,3.8743,3.89684,3.9052,3.91373,3.92253,3.93172,3.9384099999999997,3.94403,3.95115,3.9600699999999995,3.9680199999999997,3.9752300000000003,3.9818599999999997,3.98805,3.99389,3.9994400000000003
HD19641,3.17694,3.18998,3.20878,3.23699,3.27961,3.28724,3.3119400000000003,3.32165,3.3305,3.33879,3.34668,3.35429,3.3616699999999997,3.36887,3.3759300000000003,3.3828699999999996,3.3897,3.39645,3.40311,3.40971,3.41624,3.42271,3.4291300000000002,3.4355,3.44182,3.44809,3.45433,3.4605300000000003,3.4666900000000003,3.4728199999999996,3.47891,3.4947699999999995,3.50083,3.5068599999999996,3.51285,3.5188099999999998,3.52474,3.53064,3.5365300000000004,3.54239,3.5482400000000003,3.5540800000000004,3.5599199999999995,3.56575,3.57159,3.57744,3.5833199999999996,3.58923,3.5952,3.6093300000000004,3.67637,3.7181300000000004,3.7239,3.72983,3.73598,3.74243,3.74931,3.7567800000000005,3.7651199999999996,3.7746699999999995,3.78589,3.81855,3.82809,3.8447,3.8634,3.88495,3.90481,3.91384,3.92311,3.93276,3.9413099999999996,3.9472699999999996,3.9530300000000005,3.96202,3.9712300000000003,3.9794099999999997,3.9868,3.99358,3.9999,4.00585,4.0115
HD153851,3.18772,3.20342,3.22579,3.25365,3.27041,3.27965,3.29255,3.30366,3.31366,3.3228800000000005,3.3315599999999996,3.3398199999999996,3.34776,3.35545,3.3629300000000004,3.3702400000000003,3.37741,3.38445,3.3913800000000003,3.3982099999999997,3.40495,3.4116199999999997,3.41822,3.42475,3.4312199999999997,3.4376300000000004,3.4439800000000003,3.4502900000000003,3.4565599999999996,3.46277,3.46895,3.49355,3.4995800000000004,3.50558,3.51154,3.51746,3.52336,3.52923,3.5350800000000002,3.54091,3.54671,3.55251,3.5582800000000003,3.56406,3.5698300000000005,3.5756099999999997,3.5814,3.58721,3.5930699999999995,3.60964,3.6732099999999996,3.6911699999999996,3.69688,3.70272,3.70876,3.71506,3.72175,3.72899,3.73702,3.7461599999999997,3.75682,3.8367,3.8441099999999997,3.85966,3.877,3.8968,3.9197800000000003,3.9281599999999997,3.9367300000000003,3.94561,3.95494,3.9676099999999996,3.97948,3.9895300000000002,3.99825,4.00599,4.012980000000001,4.01941,4.02541,4.03106,4.03644
HIP39470,3.20058,3.21521,3.2322,3.2524599999999997,3.28266,3.2989699999999997,3.31017,3.31989,3.32873,3.33701,3.3449,3.3525099999999997,3.3599,3.36711,3.3741800000000004,3.3811400000000003,3.388,3.3947599999999998,3.40145,3.4080699999999995,3.4146199999999998,3.4211099999999997,3.42755,3.43394,3.44029,3.4465800000000004,3.45284,3.45906,3.4652300000000005,3.4713800000000004,3.47749,3.49126,3.4973099999999997,3.5033199999999995,3.50929,3.5152400000000004,3.5211699999999997,3.5270599999999996,3.53294,3.5388,3.5446400000000002,3.55047,3.55629,3.5621,3.5679199999999995,3.5737400000000004,3.57959,3.58546,3.5913800000000005,3.6183099999999997,3.6864199999999996,3.7141599999999997,3.71982,3.7256,3.7315699999999996,3.7378,3.74439,3.7515,3.7593699999999997,3.7682900000000004,3.7786800000000005,3.80309,3.81794,3.83429,3.8527199999999997,3.87397,3.885,3.8934599999999997,3.90215,3.9111599999999997,3.92066,3.9664099999999998,3.97782,3.98755,3.99603,4.0036,4.01047,4.01682,4.02276,4.02837,4.03373
