Star,Mass
HD161256,
HD16141,2.348383
HD161555,
HD161566,6.070189
HD161612,2.16793
HD162020,2.236556
HD162236,3.002656
HD162396,
HD16270,3.488552
HD16280,2.029494
HD16297,1.490445
HD163102,2.277218
HD163436,2.783526
HD16382,3.148026
HD16417,2.064592
HD165131,1.943542
HD16536,1.739742
HD16548,2.570466
HD165920,2.363399
HD166724,0.963249
HD166745,
HD16714,1.986959
HD167300,
HD167359,1.952045
HD167677,
HD16784,
HD168159,4.710578
HD168746,
HD168769,2.41166
HD168863,3.403185
HD168870,
HD168871,2.521412
HD16905,2.188707
HD169830,3.556936
HD170493,
HD17051,3.600905
HD170958,2.330256
HD171028,
HD171587,
HD171665,1.787491
HD171825,3.307512
HD171942,2.451617
HD171990,2.003935
HD172513,2.035176
HD172568,
HD172643,2.758307
HD173885,2.08015
HD174153,2.64245
HD17439,1.562684
HD174545,
HD175179,
HD17548,
HD175607,
HD176157,
HD176354,
HD176535,2.487366
HD176666,
HD176986,5.757128
HD177033,0.809933
HD177122,2.147931
HD177409,2.082709
HD177565,1.751798
HD177758,
HD17865,
HD178904,2.181342
HD179346,2.139447
HD17970,
HD179949,5.784113
HD18001,2.542352
HD180409,1.58502
HD18083,3.307008
HD181249,2.664273
HD181428,1.155541
HD181433,4.543283
HD181720,
HD183658,1.85869
HD183783,2.222183
HD18386,2.753486
HD183870,3.080424
HD185283,2.418714
HD185615,
HD186061,3.303895
HD186302,2.689127
HD18719,2.92249
HD187456,
HD187760,1.86419
HD18777,0.641782
HD188091,2.659271
HD18822,1.855447
HD18838,2.050766
HD188559,
HD188748,2.15813
HD188815,
HD189004,2.252475
HD189242,3.072531
HD189567,
HD189625,2.020199
HD189987,
HD190204,2.240291
HD190248,3.32087
HD19034,
HD190524,2.769391
HD190613,2.823642
HD190647,3.299427
HD190954,
HD190984,
HD191033,0.840875
HD191285,1.255325
HD191797,2.959717
HD191847,1.386257
HD191902,4.179293
HD192031,
HD192117,1.265709
HD19230,0.971287
HD192310,
HD192865,2.912084
HD192961,11.526441
HD193193,2.394362
HD193406,2.307488
HD193844,1.910918
HD19423,2.452705
HD19467,
HD194717,0.94127
HD195145,1.781255
HD195200,3.039966
HD195302,1.837789
HD195564,2.152501
HD195633,
HD196050,2.199594
HD196384,3.13032
HD196397,2.021092
HD19641,2.245579
HD196761,
HD196800,2.18647
HD196892,
HD197083,
HD197197,
HD197210,1.385635
HD197300,4.929576
HD197536,
HD197823,1.803123
HD1979,2.504385
HD197921,2.766641
HD198075,2.315513
HD199086,6.065289
HD199190,1.673093
HD199288,
HD199289,
HD199604,
HD199847,
HD199868,1.951453
HD199933,2.308468
HD19994,19.313106
HD199960,1.905389
HD20003,1.67383
HD200083,1.407415
HD200143,2.175553
HD200349,18.081925
HD200505,1.541577
HD200538,2.632573
HD200633,2.898007
HD201161,4.005199
HD2014,3.105019
HD201422,2.263964
HD201496,1.440674
HD202206,2.763058
HD202209,1.856061
HD202389,3.156656
HD2025,1.803695
HD202605,1.437221
HD202819,1.480947
HD202871,2.390166
HD203335,
HD203384,1.673651
HD203413,3.538033
HD203432,1.98236
HD203771,1.549234
