Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
2M19443187+4858386,10000.00,1128.00,0.975417,2.486280,-10805.521906,0.343431,1.353754,3.980,57.4525,0.753019,13.5751,2.05047,0,17.676,0.408001,4.93231,3.15262
2M19254039+3840204,10000.00,1128.00,2.094740,5.317633,-23321.965900,0.734716,2.917418,3.946,56.3766,0.818767,14.7122,1.9802,0,17.4811,0.484229,5.5372,2.60963
2M19342205+4105425,10000.00,1128.00,0.566006,1.513281,-6054.298400,0.202933,0.794838,2.815,54.2355,0.0947808,10.1589,3.14147,0,16.9158,1.82509,1.43789,12.1905
2M19284485+4143373,10000.00,1128.00,4.509347,11.446701,-50597.261058,1.579951,6.306978,3.910,55.7027,1.88085,15.1531,1.88235,0,16.5691,0.729582,5.66793,2.41437
2M19352029+4237298,10000.00,1128.00,0.550097,1.478096,-5967.835377,0.198013,0.781040,2.722,52.7136,0.293993,11.6768,3.03227,0,15.4201,2.39657,1.40775,13.0589
2M19144528+4109042,10000.00,1128.00,4.770921,12.104223,-53414.383973,1.665147,6.675912,3.813,54.9693,2.47652,15.0622,1.89257,0,16.5938,0.804158,5.83618,2.36533
2M19364610+3937084,10000.00,1128.00,3.243313,8.199556,-34737.603179,1.104524,4.484868,3.338,51.8713,2.00082,14.6921,2.20166,0,20.8773,0.479037,5.22079,2.65694
2M19294013+4125007,10000.00,1128.00,2.109866,5.368079,-23676.419247,0.744099,2.943888,4.043,57.1626,1.14196,14.4988,1.91856,0,16.5725,0.571895,5.41767,2.71597
2M19052120+4844387,10000.00,1128.00,1.661651,4.225844,-18490.107003,0.584113,2.312220,3.963,56.8906,0.916451,14.0641,2.01018,0,17.3095,0.464347,5.52475,2.82008
2M18561467+4530246,10000.00,1128.00,1.587473,4.040613,-17659.723068,0.558638,2.207715,3.988,57.1371,0.858038,14.0428,2.00429,0,17.3699,0.459488,5.21224,2.91605
2M19340476+4116386,10000.00,1128.00,8.257335,21.120543,-100326.243275,3.044906,11.793138,5.082,62.7239,0.920621,16.7384,1.15748,0,9.20081,1.31156,5.76403,2.18322
2M19325217+4243145,10000.00,1128.00,9.917234,25.417288,-123031.348689,3.698221,14.265022,5.351,64.0364,1.11546,17.4089,0.914775,0,7.14214,1.65894,5.62182,2.10153
2M19370743+4217274,10000.00,1128.00,0.019716,0.052823,-212.462597,0.007111,0.027714,2.890,55.1705,0.290279,9.8085,3.0695,0,16.0799,1.82192,1.41227,12.3471
2M19441136+4244348,10000.00,1128.00,3.599469,9.114447,-39562.091323,1.248743,5.002737,3.725,54.6309,1.09163,14.9359,2.05649,0,18.7146,0.469524,5.60046,2.50046
2M19274845+4304289,10000.00,1128.00,1.255221,3.374340,-13721.847369,0.450083,1.799881,2.557,50.1728,0.218429,13.9431,2.93321,0,14.967,2.98779,1.45851,13.3191
2M19322220+4121198,10000.00,1128.00,5.135433,13.069619,-59268.311082,1.837040,7.225144,4.380,58.8011,0.894205,15.6093,1.66888,0,14.1628,0.776594,5.73195,2.35509
2M19071403+4918590,10000.00,1128.00,2.039375,5.187177,-22801.281279,0.718154,2.841841,4.022,57.023,0.945857,14.576,1.94175,0,17.0213,0.525646,5.21962,2.74679
2M19162065+4133465,10000.00,1128.00,3.848876,9.731560,-41930.282896,1.324235,5.344436,3.538,53.2769,1.67144,14.722,2.12496,0,19.3183,0.49999,5.94274,2.4436
2M18473976+4246318,10000.00,1128.00,2.116432,5.689106,-23164.417452,0.758480,3.038843,2.535,49.844,0.201406,14.2689,2.9149,0,14.9068,3.06869,1.46807,13.3272
2M19384178+4204321,10000.00,1128.00,2.866538,7.284277,-32131.691053,1.008894,4.000580,4.003,56.7754,1.12593,14.6191,1.9309,0,16.7019,0.563897,5.68059,2.60229
2M19383520+4153027,10000.00,1128.00,1.968636,5.071778,-22571.379522,0.711270,2.751132,4.564,61.0016,1.1181,14.9701,1.65054,0,14.7471,0.780317,1.84826,3.88393
2M19004559+4601406,10000.00,1128.00,2.168231,5.510781,-24149.621348,0.761803,3.018692,3.967,56.733,0.883481,14.3818,1.98798,0,17.3308,0.481362,5.46811,2.7335
2M19322256+4253471,10000.00,1128.00,1.006613,2.565278,-11185.873506,0.354682,1.398778,3.992,57.4612,0.890409,13.5956,2.03101,0,17.3271,0.440107,5.17883,3.07578
2M19134816+4014431,10000.00,1128.00,1.312252,3.528001,-14397.902025,0.470228,1.887904,2.513,49.4787,0.207358,14.682,2.88111,0,14.729,3.18212,1.4781,13.3616
2M19165219+4753040,10000.00,1128.00,0.952248,2.434842,-10329.599428,0.334049,1.311959,3.806,57.5521,0.357055,11.9577,2.28544,0,19.2604,0.23848,4.42407,3.92479
2M19330298+4121544,10000.00,1128.00,2.643819,6.676517,-27707.852422,0.891329,3.633828,3.155,50.6565,1.31993,14.7842,2.31861,0,23.1106,0.304416,4.58252,2.92323
2M19331737+4252028,10000.00,1128.00,1.336696,3.601020,-14726.350482,0.481142,1.923176,2.572,50.2342,0.447245,14.1885,2.8432,0,14.1278,3.14098,1.44611,13.572
