Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
Sun,6.21957523315396,0.011510850986251993,44.99075821339879,0.6550459772771254,46.89489047367413,1.2119453624189345,0.016273889090791804,0.0
BD+062932
BD+063077
BD+083095
BD-002387,4.697121889746778,0.0193267550938112,34.62073356596023,1.0749891268385028,57.56415493044796,1.9813919834112323,0.042281748501468645,0.0
BD-010184,6.240655071642288,0.005085992060563719,47.546566435562426,0.7702486227662267,44.74373120982268,0.6541047074081487,0.03960796073765656,0.0
BD-012505,6.09000808929488,0.019470059235263754,43.77524538397115,0.852197882007833,47.44079654263847,1.7738062688305392,0.048475774021846135,0.0
BD-033746,7.398735636768835,0.06296491522784005,57.140976161986124,0.8664825657162716,32.64233431689355,1.7887934894264652,0.09971291398092033,0.0
BD-034797,6.475553703563299,0.005477809528507278,48.869127453839276,0.4822870312267493,43.585155145189006,0.5558428410153358,0.026556015637846847,0.0
BD-044138,6.54867724067445,0.019215742248387634,48.43926754639914,0.519591912582897,42.9057828682202,1.5383896594727182,0.029075030402224693,0.0
BD-050484
BD-050578,6.065564040430141,0.010571702625162679,44.06214330686538,0.7019297118344829,48.014919681762265,1.1155749052344248,0.029296651248148838,0.0
BD-053176,6.493342739947897,0.005019637903952909,49.00443107586081,0.45685136890286376,43.44864856090268,0.5662171180562274,0.02548949842557616,0.0
BD-053596,6.287367916299084,0.020837648823350912,47.956791981087505,0.6968601240741377,42.489718721167606,2.4897963953370743,0.058627213211212226,0.0
BD-054065,6.250677484959326,0.010846792252634145,46.088078755952125,0.5201750183755125,45.82896245595441,1.27684751886964,0.024411973636349702,0.0
BD-060904,6.297399101270355,0.011755963603354272,47.10485648441836,0.5143133032913303,44.75768558404759,1.2858671068620222,0.02812245650697609,0.0
BD-063481,5.968987091869329,0.012679656930348346,43.52062734985825,0.6917143714517489,48.523309732375516,1.2545202392754455,0.028161558239363928,0.0
BD-064196,5.6044456891596015,0.01521039484957476,39.54587157640926,0.7754645020947032,52.03498024591475,1.9910865820108183,0.032941009561266214,0.0
BD-064756,6.1202289026802035,0.02654295488048563,43.13949954059781,0.7024990735562032,46.96008446459477,3.0042361233487114,0.046908940341818056,0.0
BD-082534
BD-082823,5.547022093078162,0.022031674465942692,39.24758878111139,0.917547232807676,51.98191115127364,2.246093548686567,0.037805518576637866,0.0
BD-090872,5.898318633992529,0.03054081179929165,40.88670743633838,0.6986138425643932,48.36712797638783,4.072133336855586,0.046557962062005465,0.0
BD-091261,6.744259763592825,0.01633829042110757,52.69655088365269,1.5776921475019499,37.96422519774551,0.956292085957245,0.04464163112865299,0.0
BD-092670,6.190597196427157,0.019528082879817873,44.11730317385659,0.6677666076606967,46.89670107652738,2.0679534732071887,0.0401503894411713,0.0
BD-094191,6.094332231627431,0.02700677961504718,43.20153450696579,0.8040460106937951,46.779428465947284,3.0471117099142186,0.04654029523644061,0.0
BD-112763,6.4357491703681475,0.008979442114778954,47.37904244829922,0.4918090876151946,44.4587078009727,1.2006810447230865,0.02503100590686642,0.0
BD-120327
BD-123458
BD-130116,6.011372252232206,0.046667463047218645,44.177830729635765,1.2325825317449675,43.96469461778655,4.479217632660442,0.08763477289286338,0.0
BD-130321,5.945127231295206,0.011044743678476743,43.61768519635296,0.972031567701376,48.406657711234025,1.0008225055181166,0.04663104421983861,0.0
BD-131161,6.51463754944989,0.002870377725448144,49.98907732444898,2.1479811913166347,40.87253346756964,0.4442182982006297,0.028681791288771498,0.0
BD-140184
BD-145003
BD-160308
BD-160931,4.806241520580701,0.014826298509002609,34.81278002401883,0.8286636490627223,57.35368837096772,2.14935994795925,0.03444018890176999,0.0
BD-170063
BD-173242,6.300807378232958,0.030346366507747614,46.21780823090844,0.6943362772316064,43.469423187516625,3.2323343723742792,0.05494418722835687,0.0
BD-195953,5.6058437330613735,0.01085365088987452,40.71217623228797,1.045928530714059,51.39263416553839,1.1906228916634167,0.04194079584490206,0.0
BD-213153,6.544470646505353,0.012948255452603145,47.564976576609496,0.4935924490950232,43.46035029955227,1.8927429882888118,0.030918784496442683,0.0
BD-223528,6.1939380059690805,0.014621821303216154,45.100850154529454,0.7123321902541144,46.52393295451678,1.4206726622430883,0.03365221118426446,0.0
CD-2310879,5.944632149787235,0.007786410291394756,43.542467567086156,0.992912122266238,48.43706666505858,1.030129654202604,0.0450054313077771,0.0
CD-436810
CD-4512460,5.731103450001163,0.012107258292608647,41.83329270011013,0.7243846493406443,49.51918964408368,2.1325281311071578,0.047394167064618374,0.0
CD-452997
CD-571633,6.115619338526425,0.003133830518490317,41.32594420687451,21.72413914896813,30.038035746753565,0.6920044717317341,0.10112325662713598,0.0
HD10002,6.1094051264981095,0.006747505898152364,45.924911454639236,0.6462654516627733,46.531733289455275,0.7502376686212388,0.030699503225221376,0.0
HD100289,6.191350541669101,0.009676872066174222,45.91791582904827,0.58888724763838,46.31260065183015,0.9527512599367669,0.026817597811173845,0.0
HD100508,5.636690723696536,0.010600445435096207,41.40793789485122,0.8132487343253805,51.173443224725624,0.9194193596438014,0.03865961732232951,0.0
HD100777
HD101339,6.124969799520068,0.012030092555331186,44.51335520505542,0.6668828420886441,47.3652685080596,1.2861035154023936,0.031390037318552014,0.0
HD101367,5.975486421902955,0.009360976364534432,44.41055651379294,0.7229040884115504,48.032818117227954,0.8139713428460935,0.03490253945398884,0.0
HD101581,6.297015416736763,0.026003676041701423,46.85696034584366,0.623099936980782,43.35799660038566,2.7917361786836907,0.047187845327740154,0.0
HD101612,5.9553629392288965,0.018687457450626613,42.49670347028663,0.6970885842400621,48.86593938064417,1.9299983373085239,0.0362198308410726,0.0
HD101644,6.200915329280501,0.014869074062590835,45.92580019615785,0.554680207383108,45.83610995838901,1.4376130593512646,0.03001217537568177,0.0
HD101650
HD10166
HD10180,6.1572449940619824,0.009248364409974348,45.90333338391886,0.6375993343091876,46.33807869149924,0.925176129154605,0.029319102646149706,0.0
HD101930,6.4025282601935585,0.0067757452350055165,49.087209768145065,0.3378094058700313,43.42073707462526,0.7258030659526951,0.01913667997838358,0.0
HD102117,6.063282665220431,0.0077843396441556485,45.24063386539148,0.6856381236827087,47.130322053451614,0.8408138324206867,0.03152512018894564,0.0
HD102136,5.89416849253293,0.01439519790973426,42.24633052984424,0.6552013830418412,49.56658221655082,1.594457380609109,0.02886479951133165,0.0
HD102300
HD102365
HD102438
HD102843,6.1845510113367075,0.005793000941125966,46.44673779851593,0.6293045901474981,45.93729893715628,0.7659974421430148,0.030317219759448715,0.0
HD103197,6.0915118330651685,0.008996411158430029,44.955398949565904,0.5852698010106105,47.41663813817861,0.9140501590986967,0.02813470792257606,0.0
HD103720,5.683123422859715,0.012450767110198588,40.464667199547385,0.7633264023368334,51.53103088221038,1.5142680147895553,0.03113331114593202,0.0
HD103891
HD103949,6.154311298513044,0.009005393167840174,45.355383041348304,0.6665186266348063,46.83955856573282,0.9429048446193546,0.03231822998382605,0.0
HD104006
HD104067,6.198783106124761,0.016175307657780684,45.473371081270614,0.5740592818832063,46.10320748078331,1.606086105963092,0.028317636317238843,0.0
HD104263
HD104760A,6.2516622082776765,0.00963285457706293,45.99286740375519,0.6713195608587048,46.073698027360535,0.9700714476051503,0.030748497565681657,0.0
HD104800
HD104982,6.3605178916018525,0.008479780538611875,48.18981407490106,0.4696318342463146,44.008228256797146,0.939550839113408,0.023777322801621606,0.0
HD105004
HD105671,6.170102716941674,0.011533412875155212,44.64344070792589,0.8430313184461244,46.95428537253986,1.3406942665771961,0.03691220469410975,0.0
HD105779,6.157431899963398,0.011362282373934057,45.27719970498919,0.6582645586590594,46.65822414820115,1.206300344615598,0.0312170611976834,0.0
HD105837
HD105938,5.958942497295965,0.007538011939990466,43.664956635856726,0.9012389391902779,48.40216976433495,1.0223214303834252,0.04283272099869024,0.0
HD106116,6.195671408647702,0.008796689029909632,45.92639333304042,0.6223634920169666,46.31795210927036,0.8992614647082996,0.02956150328634105,0.0
HD106275,5.909803084135634,0.009417958289733637,43.00050569022641,0.7423647109987538,49.23219634562748,1.0697996971609636,0.0359125135610309,0.0
HD106290,5.560330504203717,0.010674988755574903,40.371184114251186,1.023378775510324,51.827819562167946,1.1651400126004823,0.04147204251079933,0.0
HD10647,5.877861072716769,0.01445551511548377,41.77835653901606,0.8363500915597532,49.73430573339272,1.7169566088155146,0.04171443938369113,0.0
HD106589,6.234593958631156,0.007188349412964347,47.12026580357891,0.6275081563926157,45.09338705437785,0.8878345234461351,0.029222154160385812,0.0
HD10700
HD107094
HD107148,6.27269154003275,0.0093892186494226,46.62354847382243,0.5765455363488668,45.670638539587344,0.8193909290442465,0.027795762514944,0.0
HD108063,5.926099549310096,0.014642571706726957,44.26271971043088,0.7398064183522765,48.242364921719556,0.7813807705855149,0.03298605789495378,0.0
HD108147,5.703580076711605,0.01269537653493016,40.678888941639094,0.8967001356782278,51.131360761122544,1.5373618113823442,0.039412896931244966,0.0
HD108309,6.157009879499536,0.008443959729733778,45.869368852032636,0.6433923964276922,46.406003100483595,0.8863445987703324,0.029437213056451302,0.0
HD108341,5.699006659636092,0.008096432305007784,41.462079501284585,0.7679626065708922,51.00038402639567,1.0311519947481602,0.03131877905958156,0.0
HD108564
HD108768,6.110214539132561,0.012899771573992393,44.05059414951493,0.6790075774132718,47.849139178638694,1.2665693675431575,0.03157541618341037,0.0
HD108935,6.370264890061077,-1.2988272028082931e-05,51.71749821107928,-0.00013955431898129305,41.456892997386504,0.45551119353173014,-1.4749467588260807e-05,0.0
HD10895,6.247067682963742,0.018532957570514888,45.01112448718833,0.5035355437326965,46.12375676126238,2.066235784755661,0.029746782526680678,0.0
HD109098,6.113959880015407,0.008316946499306909,45.60838055133189,0.6650525323504252,46.695149456566206,0.8780683732477871,0.031072259988979826,0.0
HD109200
HD109271,6.346688397406819,0.008709118275457664,46.59078791074363,0.6229601811106737,45.35941430482358,1.040434231493844,0.031005856145990586,0.0
HD109310
HD109368,6.309866116701669,0.010400763927409766,50.01511171564347,0.26603533676758173,41.88673888382581,1.4850659413233724,0.026781241810688455,0.0
HD109409,6.046731871105034,0.008912228816907621,44.804298373242865,0.7124816227080335,47.580821783080694,0.8143173053372312,0.03243681570924202,0.0
HD109423,5.673867214425915,0.012466756914921492,40.44824877075748,0.7321727839270711,51.52297709247576,1.5794889681794175,0.03077841331942952,0.0
HD109684
HD109723,6.417300197076946,0.017305280776469638,46.2568943042382,0.5372358639598753,44.67704167893975,2.0608480647589293,0.033374610249845886,0.0
HD109988
HD110291,6.384732584881234,0.010648654806908365,47.00587599308452,0.5329840252335097,44.903784416039976,1.135052863014414,0.0269214629394302,0.0
HD110557,6.276341141306291,0.01109602851821728,46.145958596555346,0.5626470495799691,45.74147342516283,1.2345215599388624,0.027962198938464015,0.0
HD110619
HD110668,5.852462645792984,0.010070894654203537,42.84323741081729,0.8344192304333713,49.39726995839667,1.0275782579542212,0.03496160195127097,0.0
HD111031,6.052835408254582,0.008474753375080284,44.93099300851358,0.7128271935566712,47.44114349688171,0.8212542044867756,0.03247193493160579,0.0
HD111232
HD111515
HD111564,6.299053863982125,0.009329364497219411,46.70208363617417,0.5793136561971418,45.44183605009305,0.9407732301105454,0.027610198945746102,0.0
HD111777
HD112100,6.367312934508454,0.010828142855196971,47.97108687260215,0.44319197932252047,44.05062170598632,1.1320737692683105,0.024884595457043825,0.0
HD11226,6.102542659659504,0.010867696453451264,44.73763166576253,0.7042495259618775,47.332653732173995,1.0810520733065452,0.03100264668209033,0.0
HD112283,5.759001498369839,0.02250047504990238,40.487361089564125,0.6991089363478207,50.45404027685638,2.529270894997854,0.04871682881409587,0.0
HD112540,6.030637569664957,0.014732013857196965,43.241157472090585,0.762594543032183,48.33242701501123,1.5794893133226369,0.03896207302122158,0.0
HD113101
HD113513,5.593790066976314,0.007843361354249064,41.7883378229193,1.4788335243884942,50.117594831858,0.939967842131346,0.07363255037228982,0.0
HD113569,6.456589455199246,0.014981511510746736,47.97241417109234,0.44384588174983636,43.61243942973131,1.472637132260417,0.02709241845611251,0.0
HD113679
HD11397
HD114076
HD114386,6.464888274674957,0.010212178317400879,49.22307463958661,0.36704018769263835,42.83466908037448,1.077293861808507,0.0228217775454073,0.0
HD114561,6.16954456080388,0.01112034648875075,44.72434890553635,0.699641276414028,47.18205323908566,1.1786767695116342,0.03461490215968425,0.0
HD114613,6.077576425136536,0.010453991146096592,44.85163888839034,0.6624285805153352,47.37904388824855,0.9896988619103222,0.029159364652802795,0.0
HD114729
HD114747
HD114783
HD114853,6.401111480686168,0.009813422781227866,48.11197246856748,0.4578606935057635,43.82277339710063,1.171626190132301,0.024842347226409052,0.0
HD11505
HD115341,6.1048261908941,0.017816605590155108,43.73824795404889,0.7365684400350151,47.64109605590277,1.7228722876778346,0.03857246585125182,0.0
HD115499,6.145670560505975,0.02008957429861996,43.66767152325938,0.6639977601740481,47.20297145448131,2.2631365734839903,0.036462553796693935,0.0
HD115585,6.182327183806643,0.00837347840280239,46.6934526182561,0.553265933193626,45.8491163772489,0.6875905241566079,0.025873884935335094,0.0
HD115617,6.318343519576397,0.01205192786363154,47.45772816370679,0.5226498069326893,44.342010238443464,1.3191260626516461,0.02809028082538444,0.0
HD115674,6.21335351274193,0.01451632354983962,44.97851312868653,0.6457683130952131,46.59827321600664,1.5163736064552096,0.03320189946462739,0.0
HD115773,6.086805774615837,0.012864583123285388,44.183143174566595,0.7403345867600419,47.563512223923574,1.376150728783641,0.03718892822701285,0.0
HD115902,6.470078608840255,0.008160371237151366,48.48051678254144,0.4117887711186764,43.72454242843951,0.8840729353275179,0.020840102495442738,0.0
HD11608,5.425075600310659,0.009211858222729198,39.6439013030923,1.1776212349102022,52.70869048118401,0.9871341169939126,0.04836540528620529,0.0
HD116259
HD116284,6.028489594831822,0.010772727044005094,43.66239205738277,0.7450545632976296,48.25141855308965,1.2670227632797308,0.034849741074400954,0.0
HD116410,5.986128619551619,0.012302031815240307,43.421007668953145,0.7491852220294615,48.66588658745059,1.134084291155572,0.031405579044371294,0.0
HD11683,6.349891102565717,-7.426845009291728e-05,51.680152964649615,-0.0010057581458115476,41.453144549959816,0.5180056733833733,-0.00011426396263120557,0.0
HD116858,5.98654170226495,0.013785456154484607,42.95567307153896,0.7188203142755708,48.66648327854419,1.6244511714160235,0.034245005805830245,0.0
HD116883,6.18810302656648,0.01365256259467021,44.51634761701458,0.5886008566810319,46.880890004545314,1.782907167460692,0.029498765137223232,0.0
HD116920,6.2778598899892595,0.015297159057053448,45.626327327255495,0.6367052876714738,45.77202271566648,1.638106366152375,0.033681254207867925,0.0
HD116963,6.0121824617851285,0.014428884569084605,42.55627590984957,1.0191154682520254,48.132706735095596,2.212450879259968,0.052839661188648496,0.0
HD1171
HD117105
HD117207,6.077959728268083,0.008932596664631517,44.856629333789805,0.6677206833896805,47.458958793213846,0.8995774223564407,0.0302214423175143,0.0
