Title:,2M19244068+4238269

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.102970,1.0000000000000000,1.000000,377.371960,-1024833.301494,38.070297,-nan,-131.115501,2670.407268,-0.124,-0.000,2.629424,0.000000,-1.327,0,0.000
10000.00,2498.00,100.102885,1.0000000000000000,1.000000,377.247577,-1025175.934855,38.064839,-nan,-131.089584,2670.113910,-0.130,0.000,2.629799,0.000000,-1.325,0,0.000
10000.00,2496.00,100.102800,1.0000000000000000,1.000000,377.123106,-1025518.567335,38.059381,-nan,-131.063571,2669.820692,-0.136,-0.000,2.630174,0.000000,-1.323,0,0.000
10000.00,2494.00,100.102715,1.0000000000000000,1.000000,376.998546,-1025861.198937,38.053924,-nan,-131.037464,2669.527616,-0.143,-0.000,2.630549,0.000000,-1.321,0,0.000
10000.00,2492.00,100.102630,1.0000000000000000,1.000000,376.873898,-1026203.829663,38.048467,-nan,-131.011261,2669.234679,-0.149,-0.000,2.630924,0.000000,-1.319,0,0.000
10000.00,2490.00,100.102545,1.0000000000000000,1.000000,376.749161,-1026546.459517,38.043012,-nan,-130.984963,2668.941883,-0.156,0.000,2.631299,0.000000,-1.318,0,0.000
10000.00,2488.00,100.102461,1.0000000000000000,1.000000,376.624336,-1026889.088503,38.037557,-nan,-130.958570,2668.649226,-0.162,-0.000,2.631674,0.000000,-1.316,0,0.000
10000.00,2486.00,100.102376,1.0000000000000000,1.000000,376.499421,-1027231.716624,38.032103,-nan,-130.932082,2668.356707,-0.168,0.000,2.632049,0.000000,-1.314,0,0.000
10000.00,2484.00,100.102292,1.0000000000000000,1.000000,376.374418,-1027574.343883,38.026650,-nan,-130.905500,2668.064328,-0.175,0.000,2.632425,0.000000,-1.312,0,0.000
10000.00,2482.00,100.102208,1.0000000000000000,1.000000,376.249325,-1027916.970283,38.021197,-nan,-130.878822,2667.772086,-0.181,-0.000,2.632800,0.000000,-1.310,0,0.000
10000.00,2480.00,100.102124,1.0000000000000000,1.000000,376.124144,-1028259.595828,38.015745,-nan,-130.852050,2667.479983,-0.188,-0.000,2.633175,0.000000,-1.308,0,0.000
10000.00,2478.00,100.102039,1.0000000000000000,1.000000,375.998872,-1028602.220521,38.010294,-nan,-130.825183,2667.188017,-0.194,0.000,2.633551,0.000000,-1.307,0,0.000
10000.00,2476.00,100.101955,1.0000000000000000,1.000000,375.873511,-1028944.844366,38.004844,-nan,-130.798221,2666.896188,-0.201,-0.000,2.633926,0.000000,-1.305,0,0.000
10000.00,2474.00,100.101872,1.0000000000000000,1.000000,375.748061,-1029287.467365,37.999395,-nan,-130.771165,2666.604496,-0.207,0.000,2.634302,0.000000,-1.303,0,0.000
10000.00,2472.00,100.101788,1.0000000000000000,1.000000,375.622521,-1029630.089522,37.993946,-nan,-130.744015,2666.312940,-0.214,-0.000,2.634677,0.000000,-1.301,0,0.000
10000.00,2470.00,100.101704,1.0000000000000000,1.000000,375.496890,-1029972.710841,37.988499,-nan,-130.716770,2666.021520,-0.220,-0.000,2.635053,0.000000,-1.299,0,0.000
10000.00,2468.00,100.101620,1.0000000000000000,1.000000,375.371170,-1030315.331325,37.983052,-nan,-130.689431,2665.730236,-0.227,0.000,2.635429,0.000000,-1.298,0,0.000
